title,author,belongTo,belongToName,id
夏雨,齊己,json/poet.tang.46000.json,全唐诗,18df7bfc-2b20-5961-b149-19082bed518b
謝興公上人寄山水簇子,齊己,json/poet.tang.46000.json,全唐诗,f489fbf8-a31f-5a54-a2ed-f6a24a76e7f4
酬微上人,齊己,json/poet.tang.46000.json,全唐诗,09162060-c7c9-52d3-babc-6884b90e1b76
同光歲送人及第東歸,齊己,json/poet.tang.46000.json,全唐诗,69f168c3-6bd8-5294-bb9f-b8e366439621
寄江居耿處士,齊己,json/poet.tang.46000.json,全唐诗,03443461-ba2d-5042-9b8b-2048a1edbdc3
病起二首 一,齊己,json/poet.tang.46000.json,全唐诗,9acb62d0-52fb-5645-8003-a0b04b296b4f
病起二首 二,齊己,json/poet.tang.46000.json,全唐诗,6bcc63ce-806d-541b-a796-d52ed2f005c9
送中觀進公歸巴陵,齊己,json/poet.tang.46000.json,全唐诗,7bbf0d37-3b37-51f6-a9cf-2ef8467db7be
寄鄭谷郎中,齊己,json/poet.tang.46000.json,全唐诗,76fe701d-b58e-54da-9db0-d89776f89e6a
歸鴈,齊己,json/poet.tang.46000.json,全唐诗,e3b7587a-9952-583a-84c9-89aaf4b6d5da
登大林寺觀白太傅題版,齊己,json/poet.tang.46000.json,全唐诗,0499a807-c553-5897-a232-2086bd9c2e15
贈曹松先輩,齊己,json/poet.tang.46000.json,全唐诗,69b43404-69be-56dc-8d0c-1ef0d5cb8bd7
夏日江寺寄無上人,齊己,json/poet.tang.46000.json,全唐诗,cd8b6d94-ed37-592f-bd0b-87e96e1137db
夏日梅雨中寄睦公,齊己,json/poet.tang.46000.json,全唐诗,1042144a-6922-53cb-aed9-c7ae3cd64373
傷鄭谷郎中,齊己,json/poet.tang.46000.json,全唐诗,58b6f471-1707-54c5-a656-6fba502f29d3
臨行題友生壁,齊己,json/poet.tang.46000.json,全唐诗,fe37e281-7d9b-5eb8-b2b1-b4aca9764648
別東林後迴寄修睦,齊己,json/poet.tang.46000.json,全唐诗,ffface93-c3e8-527d-a7cf-5a9b18432a64
古松,齊己,json/poet.tang.46000.json,全唐诗,3a702765-3fb7-572c-bf59-4f4116154de4
夏日西霞寺書懷寄張逸人,齊己,json/poet.tang.46000.json,全唐诗,6e48a3d6-d3b7-5f65-8bd5-24439f7dd321
訪自牧上人不遇,齊己,json/poet.tang.46000.json,全唐诗,5e644305-f367-5469-95b2-29a793b5dc7c
題東林白蓮,齊己,json/poet.tang.46000.json,全唐诗,972a7f6b-5b67-5cf1-a50c-412281eb46e0
