title,author,belongTo,belongToName,id
寄王補之,王安石,json/poet.song.33000.json,全宋词,9a2a8f7a-d45d-522e-9c54-41af64cdb7b8
寄謝師直,王安石,json/poet.song.33000.json,全宋词,6a6337e9-45f4-56bb-ab23-c0a145f2a50c
次韵留題僧假山,王安石,json/poet.song.33000.json,全宋词,6eab001e-e897-5e07-aae9-9454b7e4e0a3
次韵王禹玉平戎慶捷,王安石,json/poet.song.33000.json,全宋词,d18191e7-9f66-51ab-befe-8a6f1ccd4a90
春怨,王安石,json/poet.song.33000.json,全宋词,0c1978f2-454a-5cc4-9a9b-f720f31a27a8
宮詞,王安石,json/poet.song.33000.json,全宋词,bcddc0cd-4d64-5cca-a3ab-8e4f215b4b6c
雜咏,王安石,json/poet.song.33000.json,全宋词,2a749bcf-ab27-5217-a5ee-eb4b9e3ae40f
晚春,王安石,json/poet.song.33000.json,全宋词,de7b7d16-9616-5a1b-9694-7305ef2d6135
樓上望湖,王安石,json/poet.song.33000.json,全宋词,5a8e96c9-91e7-5fad-93f8-cf0c36d88354
寄李道人,王安石,json/poet.song.33000.json,全宋词,2dcdfc21-f609-5996-9122-0c6f3aafffa7
憶江南,王安石,json/poet.song.33000.json,全宋词,cabdfeeb-baa5-5893-adaa-c9ef38ef64e6
謝微之見過,王安石,json/poet.song.33000.json,全宋词,d87c4bdf-c7e8-5d11-b3d6-dc525b4b11e4
惜春,王安石,json/poet.song.33000.json,全宋词,a72ab112-16e8-5e7c-92f0-ca559584492c
子貢,王安石,json/poet.song.33000.json,全宋词,67d224b4-189c-570e-b097-8dab53670043
急足集句,王安石,json/poet.song.33000.json,全宋词,e36501e2-fd01-5fb0-b411-ea6e865c1088
題定力院壁,王安石,json/poet.song.33000.json,全宋词,0620aade-50af-58ac-9e8f-e9fb16fd083a
題山寺扉,王安石,json/poet.song.33000.json,全宋词,97b4717b-5589-5c03-966c-39fc90dc7189
字謎詩二首  其一,王安石,json/poet.song.33000.json,全宋词,10a5c23e-c6b3-51c0-801a-051b19a72d6c
字謎詩二首  其二,王安石,json/poet.song.33000.json,全宋词,22f30f15-9812-5334-bc92-2817e33b1c80
用字謎,王安石,json/poet.song.33000.json,全宋词,3b44388f-5889-5f08-b11e-f940675295f7
晴景,王安石,json/poet.song.33000.json,全宋词,511e3614-2683-58ba-89bc-99193eeabce3
題夏旼扇,王安石,json/poet.song.33000.json,全宋词,4394943b-3f2f-5b0d-ad10-8c2c43451cc7
皇祐庚寅自臨川如錢塘過宿此嘉祐戊辰自番陽歸臨川再宿金峰,王安石,json/poet.song.33000.json,全宋词,b348d418-6a3f-518d-97da-9368eeabf19d
題金陵驛,王安石,json/poet.song.33000.json,全宋词,df8a3037-60cd-5342-8527-d465330fe3fc
咏梅,王安石,json/poet.song.33000.json,全宋词,daf06937-b11e-5012-984f-99d04cf21b21
書堂,王安石,json/poet.song.33000.json,全宋词,9ce1a1d3-fbf9-51ee-9ae2-2d995afc0c2b
海棠,王安石,json/poet.song.33000.json,全宋词,7623cfac-89eb-52d7-b870-164844886589
李花,王安石,json/poet.song.33000.json,全宋词,6cb10423-8bc7-539d-8505-210206b920d7
石竹花,王安石,json/poet.song.33000.json,全宋词,164baeb3-a493-5cd3-9ea2-e3e12e2d4853
桑,王安石,json/poet.song.33000.json,全宋词,797f55c7-58fa-5a33-8ad3-7712e1f788f5
和叔才岸傍古廟,王安石,json/poet.song.33000.json,全宋词,63496872-e10e-5b77-a715-1ac9f0b3e40d
題寶巖寺寒碧亭二首  其一,王安石,json/poet.song.33000.json,全宋词,a2fe9525-f7c2-5647-834d-d0a16006bed1
題寶巖寺寒碧亭二首  其二,王安石,json/poet.song.33000.json,全宋词,7b0e1ddb-3b14-53f0-bbce-aa46d5dcd62a
同應之登大宋陂,王安石,json/poet.song.33000.json,全宋词,9fdb752a-2ba1-54d4-8531-493d07a6454b
題回峰寺詩,王安石,json/poet.song.33000.json,全宋词,8d9a8e4b-22c9-5549-88de-c078173989b9
山居雜言,王安石,json/poet.song.33000.json,全宋词,b7e47abb-2bb4-5519-afeb-6a7d949738f6
將赴南徐任遊茅山有作,王安石,json/poet.song.33000.json,全宋词,f1ce0c1a-3ddf-5e09-bdbf-312c0fc29b28
題楊溪,王安石,json/poet.song.33000.json,全宋词,1dbd6ced-3810-5a1d-a2f7-c2109013e7ed
送王郎中知江陰,王安石,json/poet.song.33000.json,全宋词,2aa1bb45-f730-5fd9-b68f-85e8a4ba8441
挽舜元胡著作郎,王安石,json/poet.song.33000.json,全宋词,8af7cb2f-e257-5893-aed6-f941e464a2e9
胡氏逢原堂,王安石,json/poet.song.33000.json,全宋词,973d90a8-a03a-5fc0-b48c-b5e77674a93f
千丈巖瀑布,王安石,json/poet.song.33000.json,全宋词,c8599cf3-3f93-5dbc-90e0-e4cc44d570d1
聽泉亭,王安石,json/poet.song.33000.json,全宋词,514006e6-b8c6-5d1e-a00c-a8c56de7d5f2
句  其一,王安石,json/poet.song.33000.json,全宋词,c521bea2-af70-52bb-9424-0b40157024b3
句  其二,王安石,json/poet.song.33000.json,全宋词,89895616-6b72-55d0-8874-f7160f743246
句  其三,王安石,json/poet.song.33000.json,全宋词,72dc059d-b424-5e7e-8576-58cd45fdbd3d
句  其四,王安石,json/poet.song.33000.json,全宋词,1d80cf57-232a-5805-bc53-df76bc2b99f2
句  其五,王安石,json/poet.song.33000.json,全宋词,977e3621-aaf3-52b6-9027-4c4006755853
句  其六,王安石,json/poet.song.33000.json,全宋词,377d67c0-7a93-525c-82b1-637b52056243
句  其七,王安石,json/poet.song.33000.json,全宋词,31ef2abc-ae16-5e74-8dc2-86f643989205
句  其八,王安石,json/poet.song.33000.json,全宋词,094450ba-9a89-506c-bb4b-5a7c848a6ce8
句  其九,王安石,json/poet.song.33000.json,全宋词,2d5e832c-52f3-5d9f-961f-1070442e5d4a
句  其一○,王安石,json/poet.song.33000.json,全宋词,8af4d6af-d703-51b1-a0c5-30a0e7b95ea5
句  其一一,王安石,json/poet.song.33000.json,全宋词,81e642bc-7c16-5e6c-90d4-99cb826f463a
句  其一二,王安石,json/poet.song.33000.json,全宋词,d5260e4e-5e02-55fd-8469-9b7d1a615d0d
句  其一三,王安石,json/poet.song.33000.json,全宋词,df78f753-5790-5812-9f6d-f559396cb263
句  其一四,王安石,json/poet.song.33000.json,全宋词,3998ef66-d16e-57c1-8c1b-352010013e65
句  其一五,王安石,json/poet.song.33000.json,全宋词,3331e8b7-465c-5b02-b84e-3f6419f531f9
句  其一六,王安石,json/poet.song.33000.json,全宋词,d6c8e069-48ce-5b66-8a6f-8de1c2d71cdf
句  其一七,王安石,json/poet.song.33000.json,全宋词,1890867c-92dc-593f-86e0-343a02f59d29
句  其一八,王安石,json/poet.song.33000.json,全宋词,ebf4adeb-60db-574d-bed4-a5e58f24861d
存目  其一,王安石,json/poet.song.33000.json,全宋词,cdeef43e-0322-55ea-aa40-d4a268e918af
存目  其二,王安石,json/poet.song.33000.json,全宋词,bc17ea4b-bb7c-5ecb-9477-643167d8e17f
清淑堂,譚掞,json/poet.song.33000.json,全宋词,d13969e1-cd1a-5b75-adb1-10e2dc621513
月石,吳頤,json/poet.song.33000.json,全宋词,73abfa50-5d6f-5e35-847c-871323bf5faa
過赤石湖有感寄獻荆公,吳頤,json/poet.song.33000.json,全宋词,6f70273f-1b9b-5816-9151-6cd132d0a20f
酥花韵,吳頤,json/poet.song.33000.json,全宋词,75b9e0d8-fcec-58b9-b8d8-eb72760cc16c
次邦憲宣德紅梅詩韵  其一,吳頤,json/poet.song.33000.json,全宋词,939275c6-8abf-504f-817f-c251c2a0b090
次邦憲宣德紅梅詩韵  其二,吳頤,json/poet.song.33000.json,全宋词,480ca3e7-faea-589a-ac47-34e71db97ee8
次邦憲宣德紅梅詩韵  其三,吳頤,json/poet.song.33000.json,全宋词,bd2cb17c-c069-554c-b6a9-bcea2f1517a4
次邦憲宣德紅梅詩韵  其四,吳頤,json/poet.song.33000.json,全宋词,424785c6-da34-5cf9-9664-4e9ed5a2f36a
次邦憲宣德紅梅詩韵  其五,吳頤,json/poet.song.33000.json,全宋词,4e73317f-dbd3-5937-b6ac-4925f45ff861
江村,吳頤,json/poet.song.33000.json,全宋词,c11e1f23-6232-557c-bdc1-4ba245918c42
聞寓舍之側花盛開口占絕句  其一,吳頤,json/poet.song.33000.json,全宋词,7e835923-ca95-5ac5-add2-7033001d5ffa
聞寓舍之側花盛開口占絕句  其二,吳頤,json/poet.song.33000.json,全宋词,f84799e8-6a74-5fdb-ab36-8b3edfebe522
別後再用前韵寄呈明府,吳頤,json/poet.song.33000.json,全宋词,3b1983b7-0a1d-531c-8fe9-3f6224829d4a
效孟浩然體寄呈邦憲明府,吳頤,json/poet.song.33000.json,全宋词,a8af27ff-cec7-5624-8479-e8366e3dde4c
明逸宣義披仙館  其一,吳頤,json/poet.song.33000.json,全宋词,bc33400d-43be-5e90-b540-12f999045de7
明逸宣義披仙館  其二,吳頤,json/poet.song.33000.json,全宋词,70b031f3-56b4-5d48-92c1-3e2ea83d8323
出歷坪鋪,吳頤,json/poet.song.33000.json,全宋词,eee9a9a7-be49-543c-8928-262ce651d6aa
訪楊湖陰不遇因題其門,陳輔,json/poet.song.33000.json,全宋词,6eccdade-5ff7-5e83-8d9f-747df85f93da
上荆公生辰,陳輔,json/poet.song.33000.json,全宋词,ea5f9dd7-3892-5fc1-8cc9-b16b02491507
題所居,陳輔,json/poet.song.33000.json,全宋词,46ccbd47-1a7f-52b8-ba07-722c2878bad7
