title,author,belongTo,belongToName,id
自問行何遲,白居易,json/poet.tang.23000.json,全唐诗,d954e8c2-6ebf-5a0f-bd6d-053427cdb21f
除日荅夢得同發楚州,白居易,json/poet.tang.23000.json,全唐诗,d201d62a-25ef-50f2-bf8f-6fde8a190540
問楊瓊,白居易,json/poet.tang.23000.json,全唐诗,395f50a1-778c-5668-9e9b-5a5ca762d97f
有感三首 一,白居易,json/poet.tang.23000.json,全唐诗,7b62d32d-7682-5950-a24d-d4785e93fcab
有感三首 二,白居易,json/poet.tang.23000.json,全唐诗,6e226f74-6f20-5dfa-8539-3c42482db89c
有感三首 三,白居易,json/poet.tang.23000.json,全唐诗,6fb2a561-2083-51e2-936f-f6a8e19d48c5
宿滎陽,白居易,json/poet.tang.23000.json,全唐诗,88814511-9b1e-526a-8feb-72cf960900fb
經溱洧,白居易,json/poet.tang.23000.json,全唐诗,cff95e68-f528-5c37-a084-c8a40f7d5237
就花枝,白居易,json/poet.tang.23000.json,全唐诗,52f58bc1-1ce7-5f9f-802f-0b152171b2b6
喜雨,白居易,json/poet.tang.23000.json,全唐诗,9dfb253b-ab4c-52ee-ae34-e53ac822f0bc
題道宗上人十韻,白居易,json/poet.tang.23000.json,全唐诗,b3b60597-c103-5683-8f52-478ebe7b77ed
寄皇甫賓客,白居易,json/poet.tang.23000.json,全唐诗,92d219ac-547a-5524-8fd7-08e6d25f6c8d
寄庾侍郎,白居易,json/poet.tang.23000.json,全唐诗,2e467f84-4cc6-5f45-86ef-02f41c911067
寄崔少監,白居易,json/poet.tang.23000.json,全唐诗,2c91553c-554a-577f-863a-5691e794acf4
醉題沈子明壁,白居易,json/poet.tang.23000.json,全唐诗,828ebfe6-6276-5a04-a3e3-8d8d02be756f
勸酒,白居易,json/poet.tang.23000.json,全唐诗,89e92047-1587-596a-9e6d-3e14cca2f2fd
落花,白居易,json/poet.tang.23000.json,全唐诗,defc3579-b8fd-5789-801d-6228e97f9ea2
對鏡吟,白居易,json/poet.tang.23000.json,全唐诗,a3b27cbd-9f3f-5039-b50e-2f4f5c60c647
耳順吟寄敦詩夢得,白居易,json/poet.tang.23000.json,全唐诗,7e59167e-b79c-5562-9b3c-1a159bb68540
別氈帳火爐,白居易,json/poet.tang.23000.json,全唐诗,55e30ddc-546b-5def-b5bc-9f0064d9ebb0
六年春贈分司東都諸公,白居易,json/poet.tang.23000.json,全唐诗,d59295b8-276f-5393-b39c-e13e4a6f915d
九日代羅樊二妓招舒著作,白居易,json/poet.tang.23000.json,全唐诗,639157a9-3a1f-5ef7-9ce9-e0a7d486a87f
憶舊遊,白居易,json/poet.tang.23000.json,全唐诗,0262dfd9-75f4-5091-9f6e-9c40cfb648a2
荅崔賓客晦叔十二月四日見寄,白居易,json/poet.tang.23000.json,全唐诗,4608757f-34b8-5641-8adf-ee63b33adcf7
勸我酒,白居易,json/poet.tang.23000.json,全唐诗,9abb9a3d-110b-5399-b5b5-697321d5e30b
贈韋處士六年夏大熱旱,白居易,json/poet.tang.23000.json,全唐诗,1aa47d76-4492-5152-93cc-ae695db5f104
和微之詩二十三首 和晨霞,白居易,json/poet.tang.23000.json,全唐诗,0c0348df-c202-5519-ac9f-b738c32226db
和微之詩二十三首 和送劉道士遊天台,白居易,json/poet.tang.23000.json,全唐诗,2244cac5-318c-5ed3-a0e1-b5f4fdb43dea
和微之詩二十三首 和櫛沐寄道友,白居易,json/poet.tang.23000.json,全唐诗,81458db2-4368-505a-8317-fbabf086bc45
和微之詩二十三首 和祝蒼華,白居易,json/poet.tang.23000.json,全唐诗,c5f3b867-dab7-5eba-97ff-739ab81cf828
