title,author,belongTo,id
與峨眉山道士期盡日不至,鮑溶,json/poet.tang.25000.json,ee17a73e-4257-5dec-aafa-310b6438a9c2
述德上太原嚴尚書綬,鮑溶,json/poet.tang.25000.json,d954f755-9109-5bc5-bc48-d633edeed9fe
山中懷劉修,鮑溶,json/poet.tang.25000.json,d4bdaaaa-527f-5a28-9bd7-05a7c01775e3
塞下,鮑溶,json/poet.tang.25000.json,7a4ab498-02ab-54e2-84cf-7948e10ff834
送僧南遊,鮑溶,json/poet.tang.25000.json,cec588a2-d7f0-5d09-8b9a-f8771e6549c1
行路難,鮑溶,json/poet.tang.25000.json,377659ca-5503-5538-b10f-29264c358efc
子規,鮑溶,json/poet.tang.25000.json,36984169-f4f5-5beb-a4e8-38e83e11b939
秋夜聞鄭山人彈楚妃怨,鮑溶,json/poet.tang.25000.json,37b8a1fa-3b3e-5a08-8dfb-0b31444d44d7
憶舊遊,鮑溶,json/poet.tang.25000.json,28036404-4ec8-578f-a893-8a74b4120b8e
白露,鮑溶,json/poet.tang.25000.json,db54b87a-59f1-5814-a226-80e7fb80141b
經隱叟,鮑溶,json/poet.tang.25000.json,a2aa430b-8327-5b4f-bc23-c9ac81f835a8
秋暮山中懷李端公益,鮑溶,json/poet.tang.25000.json,54f3759f-9a44-5377-80c2-9b7f5c85770f
苦哉遠征人,鮑溶,json/poet.tang.25000.json,54bae91e-f7f3-5158-ad8f-a8c485c84369
悼豆盧策先輩,鮑溶,json/poet.tang.25000.json,6a7d5556-81ef-531e-8a6c-e2704fd50071
首夏,鮑溶,json/poet.tang.25000.json,14436b3e-aa38-55d3-8b14-6403e35ccb86
寄天台準公,鮑溶,json/poet.tang.25000.json,4e7740f2-403c-512c-9b41-92cf57eb73b3
送僧東遊,鮑溶,json/poet.tang.25000.json,8f5c4aa5-c8f6-50f8-a175-3836e70dc869
送僧之宣城,鮑溶,json/poet.tang.25000.json,f4f742b5-728b-5c31-aa83-a02495b4e54a
宣城北樓昔從順陽公會於此,鮑溶,json/poet.tang.25000.json,7f35ce45-8f9b-5301-96d3-ca6836ff7e69
東高峯,鮑溶,json/poet.tang.25000.json,bfc67340-ed41-5c59-9e1f-1a2c301b75b0
禪定寺經院,鮑溶,json/poet.tang.25000.json,ccf45818-9410-546c-8f1b-0028068582f9
范真傳侍御累有寄因奉酬十首 一,鮑溶,json/poet.tang.25000.json,efc71c89-d92d-5c68-8e67-f462a3dc8bb7
范真傳侍御累有寄因奉酬十首 二,鮑溶,json/poet.tang.25000.json,5e600292-f82f-5835-9dbd-a4874bca9f96
范真傳侍御累有寄因奉酬十首 三,鮑溶,json/poet.tang.25000.json,4cb1fd07-9302-5219-a2c6-adad69650406
范真傳侍御累有寄因奉酬十首 四,鮑溶,json/poet.tang.25000.json,756a2a6b-b68e-5c7c-802d-4816244ca76e
范真傳侍御累有寄因奉酬十首 五,鮑溶,json/poet.tang.25000.json,73e71212-542f-5f60-a8aa-7a472d4fa351
范真傳侍御累有寄因奉酬十首 六,鮑溶,json/poet.tang.25000.json,e1cc1321-9523-571d-bdb6-31690a57d277
范真傳侍御累有寄因奉酬十首 七,鮑溶,json/poet.tang.25000.json,89a94186-2e32-550f-94c8-655c10a48965
范真傳侍御累有寄因奉酬十首 八,鮑溶,json/poet.tang.25000.json,981ee97d-34b8-595f-ae82-4e87de5f969a
范真傳侍御累有寄因奉酬十首 九,鮑溶,json/poet.tang.25000.json,acc1f3ac-6961-513e-9d2a-b713aebddccc
范真傳侍御累有寄因奉酬十首 十,鮑溶,json/poet.tang.25000.json,c88377da-428f-5aca-a7f1-20fc1036fde9
越女詞,鮑溶,json/poet.tang.25000.json,50355498-a601-52d3-b07d-7ea125f58974
弄玉詞二首 一,鮑溶,json/poet.tang.25000.json,2b64116f-569f-5993-904a-14d5ba5e2c11
弄玉詞二首 二,鮑溶,json/poet.tang.25000.json,9d0173b0-65f1-5564-9e71-3340eb1f56d0
山行經樵翁,鮑溶,json/poet.tang.25000.json,067f4b98-7519-58ec-a107-0303781e14ee
途中旅思二首 一,鮑溶,json/poet.tang.25000.json,161bea93-2901-530c-a9f7-144d18b77404
途中旅思二首 二,鮑溶,json/poet.tang.25000.json,4260fb6b-b425-54cb-8fa3-a870fe452c94
舊鏡,鮑溶,json/poet.tang.25000.json,345033c9-a3af-589c-bf88-b9b686c07d24
宿悟空寺贈僧,鮑溶,json/poet.tang.25000.json,ede42d42-b106-57c2-8bb0-bbd6601aba1b
感興,鮑溶,json/poet.tang.25000.json,e0feaa27-7dab-53fb-858a-c826c8cbaa5f
秋思,鮑溶,json/poet.tang.25000.json,ab8f318a-78e2-58f9-8212-1f4db6fadd92
客途逢鄉人旋別,鮑溶,json/poet.tang.25000.json,a8340325-10f0-50a3-b235-ddd3e81cf774
隋帝陵下,鮑溶,json/poet.tang.25000.json,7f156f2f-160d-5677-ab2b-1a6eee2ab4a7
洛陽春望,鮑溶,json/poet.tang.25000.json,ec702086-f1cd-5cf1-b52b-39ea4daa4a84
始見二毛,鮑溶,json/poet.tang.25000.json,9a9c0358-6343-5bd5-a7fa-87017043343c
巫山懷古,鮑溶,json/poet.tang.25000.json,0330b019-b4cb-5dc6-b177-1e6ce416eb73
郊天迴,鮑溶,json/poet.tang.25000.json,d553baa5-df74-5dba-8b89-c3ede9e45972
溫泉宮,鮑溶,json/poet.tang.25000.json,72b5c1d7-3980-527f-a973-379464a28cc9
寄歸,鮑溶,json/poet.tang.25000.json,490d34c5-f17c-5a16-b0f0-902892584ab0
贈遠,鮑溶,json/poet.tang.25000.json,b32510c3-84dc-55c7-9f44-2d9c1296dd54
九日與友人登高,鮑溶,json/poet.tang.25000.json,bcca54a8-00b2-5f19-8a08-43ead87be999
贈楊煉師,鮑溶,json/poet.tang.25000.json,a1d0a436-271f-50fa-a7b7-3786a5ee5d77
玉清壇,鮑溶,json/poet.tang.25000.json,1df9a1d1-00a7-5c64-b366-b964ea8b2c7d
荅客,鮑溶,json/poet.tang.25000.json,151abb6f-ba5f-58ec-a117-0776536bf88e
隋宮,鮑溶,json/poet.tang.25000.json,fb38c216-54aa-5aa7-8c4d-0686a5eddd9e
送僧文江,鮑溶,json/poet.tang.25000.json,c53a1e67-4133-5601-ab76-2043c8cdce44
古意,鮑溶,json/poet.tang.25000.json,dcc1e165-7a10-5bcd-853c-d66efa4851e3
山中冬思二首 一,鮑溶,json/poet.tang.25000.json,2f26e0c5-ff0d-57a0-8624-2b8cac196796
山中冬思二首 二,鮑溶,json/poet.tang.25000.json,19f9b697-75cb-5482-944a-98ff692bf7b8
讀史,鮑溶,json/poet.tang.25000.json,b19bfb34-7df8-537d-91fd-d2d6625ba0eb
冬夜荅客,鮑溶,json/poet.tang.26000.json,391b92f9-b78c-57dc-9be3-d15a737b8300
宿吳興道中苕村,鮑溶,json/poet.tang.26000.json,ab448a88-1b16-53e7-b8ea-99951bad95ac
代楚老酬主人,鮑溶,json/poet.tang.26000.json,645ab348-a7c2-51ee-8f16-efb4a689edd8
沛中懷古,鮑溶,json/poet.tang.26000.json,a6c8bd0a-01e3-575a-a74c-ac827296d4ae
夏日華山別韓博士愈,鮑溶,json/poet.tang.26000.json,6ca3382a-6ea1-5a4b-9a11-b015ecd32025
春日言懷,鮑溶,json/poet.tang.26000.json,465c6946-f905-5ced-af5e-c6b4cbd687b2
題吳徵君巖居,鮑溶,json/poet.tang.26000.json,bf924cf9-1de8-5ad0-8a81-3860514e1452
雲溪竹園翁,鮑溶,json/poet.tang.26000.json,60cd4f30-ca29-57d4-a500-f999e8147125
竊覽都官李郎中和李舍人益酬張舍人弘靜夏夜寓直思聞雅琴見寄,鮑溶,json/poet.tang.26000.json,fdbef077-d8a1-519f-a0ef-2da1361b6886
長安言懷,鮑溶,json/poet.tang.26000.json,ede894f9-1a22-585d-a3d7-5efe70beb7ad
秋思三首 一,鮑溶,json/poet.tang.26000.json,b58ef9ae-cfec-547f-978d-7fddfd92cc49
秋思三首 二,鮑溶,json/poet.tang.26000.json,8a7e402a-5833-5fcc-a0f8-8361065355e3
秋思三首 三,鮑溶,json/poet.tang.26000.json,99aaec52-8b2b-507c-b31e-69dd98784ac5
歸鴈,鮑溶,json/poet.tang.26000.json,a92f19f2-6ad0-55ff-b929-29e21eddea77
悲湘靈,鮑溶,json/poet.tang.26000.json,783f0b6e-1b41-535d-9bcf-438f66e12be6
聞蟬,鮑溶,json/poet.tang.26000.json,7ac311ca-766f-5da8-bcd5-3c80116952ac
懷幽期,鮑溶,json/poet.tang.26000.json,4a560843-29b4-53db-ab13-ede93aadfe49
思琴高,鮑溶,json/poet.tang.26000.json,20a534d6-8de7-5be4-9904-3aa45599ef3d
得儲道士書,鮑溶,json/poet.tang.26000.json,14f0bacd-6082-5b12-a49e-6dce4e1bd2b7
寒夜吟,鮑溶,json/poet.tang.26000.json,c8532a6f-95c9-5fef-866a-8bf1a4c27b3f
採蓮曲二首 一,鮑溶,json/poet.tang.26000.json,cbca5ff9-51b4-5e4a-8d84-6d09c4776764
採蓮曲二首 二,鮑溶,json/poet.tang.26000.json,11cf2a47-0d85-50ee-a864-0ab22d525eb3
玉山謠奉送王隱者,鮑溶,json/poet.tang.26000.json,fb4885cb-4ca4-56e6-b48b-95c2162ee659
岐路,鮑溶,json/poet.tang.26000.json,f860c971-967c-5f29-9200-e72568c4a2ae
隴頭水,鮑溶,json/poet.tang.26000.json,607ed1f7-923c-596e-a962-75e7b245b9b5
沙上月,鮑溶,json/poet.tang.26000.json,c358767a-73a2-5ad2-b4d3-f9d59b9dc2d3
贈李黯將軍,鮑溶,json/poet.tang.26000.json,6f3d1682-eac8-5e93-b961-8340011dd1c9
人日陪宣州范中丞傳正與范侍御宴,鮑溶,json/poet.tang.26000.json,5330d7d7-09c2-51b6-92bf-ebff824ecef2
古鑑,鮑溶,json/poet.tang.26000.json,c660b97c-8986-55f2-96eb-b9546b61ef50
送王煉師,鮑溶,json/poet.tang.26000.json,8ab8417f-ac58-536e-a9fb-1733e795a3fa
寄張十七校書李仁行秀才,鮑溶,json/poet.tang.26000.json,3b6565a3-9138-55cf-942e-a69f6c17030d
送王損之秀才赴舉,鮑溶,json/poet.tang.26000.json,031a353c-ac7b-53d7-b4ab-102956678600
舊鏡,鮑溶,json/poet.tang.26000.json,dcc712d4-aac1-570c-9cb3-8d279a3952a3
憶郊天,鮑溶,json/poet.tang.26000.json,45860666-7cba-5ec1-9c9c-7c27874d214e
期盡,鮑溶,json/poet.tang.26000.json,a8d419ee-1775-5f16-bfb7-c0782234297f
晚山蟬,鮑溶,json/poet.tang.26000.json,87c564b9-3bf1-5ae8-8e77-c1310b75d6aa
秋暮送裴垍員外刺婺州,鮑溶,json/poet.tang.26000.json,5c76bfc7-ae92-5edb-a70a-38fcc666be20
寄薛膺昆季,鮑溶,json/poet.tang.26000.json,707353b9-8fb6-53d0-bffb-262774fd299d
楊真人籙中像,鮑溶,json/poet.tang.26000.json,6ff151f3-a7b5-571c-b58a-571fb3948082
寄盧給事汀吳員外丹,鮑溶,json/poet.tang.26000.json,ef44454d-d456-59b8-8d92-0c4f1e1e49ed
懷王直秀才,鮑溶,json/poet.tang.26000.json,3791353b-9e56-5a0b-a1ae-3b19e5fd4e78
贈真公影堂,鮑溶,json/poet.tang.26000.json,b652f2ef-b3ea-5dad-a9df-0e4064b55af7
贈僧戒休,鮑溶,json/poet.tang.26000.json,fe511d11-abcd-5785-a2ca-617590509b2f
秋夜懷紫閣峯僧,鮑溶,json/poet.tang.26000.json,e66cefcc-3376-52d4-9efb-5afcd8b3ffe7
酬江公見寄,鮑溶,json/poet.tang.26000.json,4b78a832-89ed-5660-ae57-20fef8ebdfe9
送羅侍御歸西臺,鮑溶,json/poet.tang.26000.json,17c21db1-d1d3-5488-8467-e8d0f88697a0
