title,author,belongTo,id
偈頌四十一首  其三五,釋慧暉,json/poet.song.108000.json,dccf1d79-0f61-5c8f-9416-cb136d44433c
偈頌四十一首  其三六,釋慧暉,json/poet.song.108000.json,8e3c5343-dad1-5744-8107-acb6fd7244f2
偈頌四十一首  其三七,釋慧暉,json/poet.song.108000.json,ea5e8c55-2302-5afb-aeb3-fd05241dabc8
偈頌四十一首  其三八,釋慧暉,json/poet.song.108000.json,dfddcc80-7273-5de4-a22c-e9406195185d
偈頌四十一首  其三九,釋慧暉,json/poet.song.108000.json,36c8d8d4-d8a0-557a-9b87-c22a6dc279bf
偈頌四十一首  其四○,釋慧暉,json/poet.song.108000.json,1efb5632-d0e5-5975-986c-204b4e29fab0
偈頌四十一首  其四一,釋慧暉,json/poet.song.108000.json,343ffc2e-7f8b-5b82-862a-a0c266b05b5b
偈頌三十首  其一,釋慧暉,json/poet.song.108000.json,93f39e0a-7e7f-585b-94fd-4a10f927ad82
偈頌三十首  其二,釋慧暉,json/poet.song.108000.json,b677ede9-b89d-5c90-b94e-f3c9e642b06b
偈頌三十首  其三,釋慧暉,json/poet.song.108000.json,2c8f07d8-d2c6-50e9-8a4c-6d0285fab5ec
偈頌三十首  其四,釋慧暉,json/poet.song.108000.json,72a5ad6e-4fa9-5cc6-8935-5825c428c834
偈頌三十首  其五,釋慧暉,json/poet.song.108000.json,1f762bae-6e74-5c3a-8764-785032f8c833
偈頌三十首  其六,釋慧暉,json/poet.song.108000.json,d08e3bff-9073-5602-933f-7eb076828ed3
偈頌三十首  其七,釋慧暉,json/poet.song.108000.json,66cb561a-8f2b-576f-8cc8-27ea3c35baed
偈頌三十首  其八,釋慧暉,json/poet.song.108000.json,ef417295-aea2-5109-a25b-4f15b6c4399f
偈頌三十首  其九,釋慧暉,json/poet.song.108000.json,3ad6a63c-56db-51a5-85e5-753e0a8d5b79
偈頌三十首  其一○,釋慧暉,json/poet.song.108000.json,57682aef-c208-539f-8786-1806de27fbfe
偈頌三十首  其一一,釋慧暉,json/poet.song.108000.json,79573f60-2b3e-54c1-a049-18d4fcb26696
偈頌三十首  其一二,釋慧暉,json/poet.song.108000.json,101ee635-fc50-5b0e-ae57-fa41c99a25a8
偈頌三十首  其一三,釋慧暉,json/poet.song.108000.json,0e78b404-19a5-50dc-a6f3-5c18c72a735a
偈頌三十首  其一四,釋慧暉,json/poet.song.108000.json,c6ea7549-256d-5507-b2ed-8519d4f87ebf
偈頌三十首  其一五,釋慧暉,json/poet.song.108000.json,41ac205a-425c-53b6-9002-f34e7fa69c61
偈頌三十首  其一六,釋慧暉,json/poet.song.108000.json,49dffe5f-a413-5101-a205-803c4fdaab75
偈頌三十首  其一七,釋慧暉,json/poet.song.108000.json,fdefa463-9a66-5325-bd45-68b26cab7b62
偈頌三十首  其一八,釋慧暉,json/poet.song.108000.json,c35095cf-db90-5e73-a9a4-f26b99bee13f
偈頌三十首  其一九,釋慧暉,json/poet.song.108000.json,33246b5f-d214-50f6-86c0-8d9d2c2a0ba9
偈頌三十首  其二○,釋慧暉,json/poet.song.108000.json,c362bef0-8546-5d88-8812-0f615c3be7b0
偈頌三十首  其二一,釋慧暉,json/poet.song.108000.json,90575339-a479-5143-a1d4-065dc1c8ab95
偈頌三十首  其二二,釋慧暉,json/poet.song.108000.json,563ba2ac-529e-5ce4-8980-87e018133031
偈頌三十首  其二三,釋慧暉,json/poet.song.108000.json,9513e713-7f37-56c2-9552-d2aa02581c6b
偈頌三十首  其二四,釋慧暉,json/poet.song.108000.json,d052e7cb-9f2d-5c7b-92a0-fa389b69adba
偈頌三十首  其二五,釋慧暉,json/poet.song.108000.json,788dfaeb-c591-5bbe-ae7a-651209aea0b1
偈頌三十首  其二六,釋慧暉,json/poet.song.108000.json,2c03919b-3f2d-5c65-8668-98ec9de85626
偈頌三十首  其二七,釋慧暉,json/poet.song.108000.json,d04a5f84-06a7-5c9e-954f-e70cee6239b3
偈頌三十首  其二八,釋慧暉,json/poet.song.108000.json,e646bc86-176b-5977-b748-18e911d14b35
偈頌三十首  其二九,釋慧暉,json/poet.song.108000.json,8926fefe-04d4-5ef8-9af1-6b56501e029f
偈頌三十首  其三○,釋慧暉,json/poet.song.108000.json,f559f935-3951-52fa-9697-af7859921765
偈頌三十首  其三一,釋慧暉,json/poet.song.108000.json,130e7cec-73c3-54c5-9584-9869e7ee892a
偈十首  其一,釋慧暉,json/poet.song.108000.json,ecf0984f-0dac-57d6-999b-e8b8269a418e
偈十首  其二,釋慧暉,json/poet.song.108000.json,f4f1ed77-b7c7-5ee3-b6e8-1dfc211d19b1
偈十首  其三,釋慧暉,json/poet.song.108000.json,c638a0d4-f1fa-5768-8710-4b886ef39c00
偈十首  其四,釋慧暉,json/poet.song.108000.json,cbe2ccf8-d0dc-5683-b0c6-66afa928a43a
偈十首  其五,釋慧暉,json/poet.song.108000.json,bfae1af8-c3f6-5d99-8a80-8a7c726a508e
偈十首  其六,釋慧暉,json/poet.song.108000.json,0a94f200-f4eb-5518-96cd-6aae851859e8
偈十首  其七,釋慧暉,json/poet.song.108000.json,3737f5e9-1977-513a-9094-f82a13c7f8a2
偈十首  其八,釋慧暉,json/poet.song.108000.json,c7cb2a42-0ecd-5d2c-bb98-41ddb88805ef
偈十首  其九,釋慧暉,json/poet.song.108000.json,0ad16abd-5c59-5120-b85d-8b10631d0a29
偈十首  其一○,釋慧暉,json/poet.song.108000.json,5bdb7435-5112-5afe-aed4-0161c487a331
