title,author,belongTo,id
酬成賢良,陳起,json/poet.song.202000.json,381dc97a-7441-5f8e-920a-af68a16cef94
同友人汎舟過斷橋登壽星江湖偉觀歸舟聽客謳清真詞意甚適分得江字奉寄季大著鄉執兼呈真靜先生,陳起,json/poet.song.202000.json,0a326bab-dc30-5c32-a69d-4c110b8d21f9
舊挽汪隠君  其一,陳起,json/poet.song.202000.json,2c8bdd6c-d367-5ec0-b66d-791cdc7c095e
舊挽汪隠君  其二,陳起,json/poet.song.202000.json,c56c954b-cb2f-5d98-87f2-42ef872dd439
靜江商宰書來且索鄙語要道其冰雪相看之意古調代書,陳起,json/poet.song.202000.json,dd6562f1-ef25-5997-9a7b-729c4a2bf506
安晚先生送自贊太上感應篇帙首御題諸惡莫作衆善奉行八字輔以佑聖像一軸兩詩見意云  其一,陳起,json/poet.song.202000.json,c6b895c6-0c55-506d-bd71-a429633e1cb3
安晚先生送自贊太上感應篇帙首御題諸惡莫作衆善奉行八字輔以佑聖像一軸兩詩見意云  其二,陳起,json/poet.song.202000.json,ae3196c6-528f-5ac4-9e74-790731958fe6
雜言送歙研廣香與友人有懷楊校書幼度,陳起,json/poet.song.202000.json,4897959b-2518-56c3-9a50-d61448e6dc59
真靜饋新茶菰乾黄獨乳酪約葵窗適安共享適安不赴葵窗詩來道謝次韻答之兼呈真靜適安,陳起,json/poet.song.202000.json,2d9a428f-803a-5077-b314-1496e86530ff
哭丹池王隠君,陳起,json/poet.song.202000.json,9d5fa882-6856-5623-9fd9-83a6ed9e839b
寄汪起潛簽判,陳起,json/poet.song.202000.json,ca2e12a4-fc6f-5b7b-b9ef-18ea5a42926b
史記送後村劉秘監兼致欲見之悰,陳起,json/poet.song.202000.json,8f60225b-fd4b-5e63-a2c1-acb98e481e20
題建溪劉希和吟趣園,陳起,json/poet.song.202000.json,87766bc7-c894-5e3a-80c6-b7f7a63a8ace
趙紫芝運幹,陳起,json/poet.song.202000.json,414c3a3f-e232-5334-9042-b7b68a073836
芸隠提管詩來依韵奉答  其一,陳起,json/poet.song.202000.json,23cb7186-90a3-5696-822e-4dd7822a4ec4
芸隠提管詩來依韵奉答  其二,陳起,json/poet.song.202000.json,c7441456-82d4-5ee4-a7e4-2518ed0ead2a
芸隠再和復用以酬  其一,陳起,json/poet.song.202000.json,b550ef77-13fa-5422-80d5-443537459c00
