title,author,belongTo,belongToName,id
春晚憶故人,白玉蟾,json/poet.song.207000.json,全宋词,792de32e-2033-5c56-b170-178a29a7e82e
贈相士徐碧眼,白玉蟾,json/poet.song.207000.json,全宋词,50773ad2-94c5-5182-9122-fdc579c45e44
雪晴  其一,白玉蟾,json/poet.song.207000.json,全宋词,22900884-4ea4-5b8d-b2f8-ce1c853aa31b
雪晴  其二,白玉蟾,json/poet.song.207000.json,全宋词,d9871842-e0b5-51ec-9a2d-9225946ed386
梧窗  其一,白玉蟾,json/poet.song.207000.json,全宋词,03c82e9c-1ccb-5e9a-b23f-8ceaebddf834
梧窗  其二,白玉蟾,json/poet.song.207000.json,全宋词,443fda61-f84c-57f1-b381-e2d65dad7410
盤雲  其一,白玉蟾,json/poet.song.207000.json,全宋词,e16dc06a-276e-513b-b881-2fbc8e13737e
盤雲  其二,白玉蟾,json/poet.song.207000.json,全宋词,c01ddd99-1e5a-5e6c-8bc2-9c0f82016527
戲鶴林,白玉蟾,json/poet.song.207000.json,全宋词,fbfbebf7-7797-5050-86f1-026b97b9e5d6
覽鏡,白玉蟾,json/poet.song.207000.json,全宋词,b59cef9a-6e67-527e-a8db-59cd8cd0f611
黄岡,白玉蟾,json/poet.song.207000.json,全宋词,e0686cdc-162e-5940-aa65-ebc7e4ceff51
贈別徐監觀,白玉蟾,json/poet.song.207000.json,全宋词,cda986b8-2922-5320-a5a3-7973e9d3a48c
送鄭陽春,白玉蟾,json/poet.song.207000.json,全宋词,a7a16959-b8ad-519e-93ac-db200d20a8c8
蝸牛,白玉蟾,json/poet.song.207000.json,全宋词,cea33f10-8123-50ba-b87d-3b172c60a43f
早秋,白玉蟾,json/poet.song.207000.json,全宋词,0cba1254-cf32-5d97-a485-404c5e3461bd
七仙寺石履  其一,白玉蟾,json/poet.song.207000.json,全宋词,0d6a67da-4a5e-5267-9b01-4b453fe040e3
七仙寺石履  其二,白玉蟾,json/poet.song.207000.json,全宋词,0712d367-a1b8-580c-a02e-8e87d695da92
次韻王將仕  其一,白玉蟾,json/poet.song.207000.json,全宋词,b72b434f-0ecb-5073-bd82-e057107c4c19
次韻王將仕  其二,白玉蟾,json/poet.song.207000.json,全宋词,0c034f54-3a8c-51ea-8f07-6e18d3e7cdb9
示周道士,白玉蟾,json/poet.song.207000.json,全宋词,a02f7780-712d-516e-b4bb-1f9757f65284
秋日書懷  其一,白玉蟾,json/poet.song.207000.json,全宋词,9f2fd020-5b5a-5006-bb1d-041957474515
秋日書懷  其二,白玉蟾,json/poet.song.207000.json,全宋词,b6613501-95e2-5086-ad87-d9d830fdee80
秋日書懷  其三,白玉蟾,json/poet.song.207000.json,全宋词,00ec1eb9-429c-5e2d-9911-8a2836824a28
殘春,白玉蟾,json/poet.song.207000.json,全宋词,65bd6447-7f66-52f2-bd1b-5fe8353fc443
蕭侍郎故居,白玉蟾,json/poet.song.207000.json,全宋词,f17db9e6-3425-53f0-ac8f-1ddd3e133a71
行春辭  其一,白玉蟾,json/poet.song.207000.json,全宋词,97ebac8a-4046-5552-9be6-dcc91a22f2e6
行春辭  其二,白玉蟾,json/poet.song.207000.json,全宋词,5a21ccf6-4710-5994-974f-78c72e065576
行春辭  其三,白玉蟾,json/poet.song.207000.json,全宋词,11ec0fa1-0aaa-5a88-b98b-bc51eb84f6db
行春辭  其四,白玉蟾,json/poet.song.207000.json,全宋词,27f56c18-6451-5120-a389-1b995a1e04eb
行春辭  其五,白玉蟾,json/poet.song.207000.json,全宋词,607bbc35-9e0f-59d1-9c9c-dd87785cab6f
行春辭  其六,白玉蟾,json/poet.song.207000.json,全宋词,d9bebcd5-ca67-5e97-96a8-39ebd01bd069
行春辭  其七,白玉蟾,json/poet.song.207000.json,全宋词,24fdf770-96d4-5278-b7c5-7bb897a47d64
行春辭  其八,白玉蟾,json/poet.song.207000.json,全宋词,dcb6bd39-6669-5865-a126-6e146007695c
行春辭  其九,白玉蟾,json/poet.song.207000.json,全宋词,b524de1b-4b8f-573b-a06c-6bed0b2210eb
山歌  其一,白玉蟾,json/poet.song.207000.json,全宋词,36cac3cc-7171-5f88-99d4-e566a1563197
山歌  其二,白玉蟾,json/poet.song.207000.json,全宋词,4d5502c7-8768-5968-bb49-60a95287b208
山歌  其三,白玉蟾,json/poet.song.207000.json,全宋词,001d93a2-bb77-589e-a401-7dbbd3674f65
農歌,白玉蟾,json/poet.song.207000.json,全宋词,5fa99f55-c7ff-50c5-99fa-a59dc88fe3c6
春晚行樂  其一,白玉蟾,json/poet.song.207000.json,全宋词,8060382d-1827-5306-b9ba-7aa1bc48892e
春晚行樂  其二,白玉蟾,json/poet.song.207000.json,全宋词,ca33487d-db18-5157-b71f-b046b9fca50e
