title,author,belongTo,id
和劉涇巨濟教授,馮山,json/poet.song.42000.json,d6be72f8-42c8-52d0-8ad7-95c54eb7e32f
和吕少蒙蠶市,馮山,json/poet.song.42000.json,5831874e-6d35-57e2-83e5-1098a1397782
往時與今錢唐蒲資政傳正修史鄧內翰温伯同和唐韋考功張水部盛山十二詠畀開江吳令使榜於宿雲亭二十三年矣因緣登覽感慨疇昔復爲短篇以紀故事元祐二年正月二十八日安岳馮允南,馮山,json/poet.song.42000.json,8fb3894e-ff03-5f98-b34e-695d6914dbac
中巖封崇寺,馮山,json/poet.song.42000.json,0a44a2b6-84cf-5e94-8a3b-dfe4ad2e3ba4
扶歡驛王衮居也梁承秀居今隆化縣李光吉居今榮懿寨皆土豪犯法禁以取夷滅,馮山,json/poet.song.42000.json,74ae1489-ec43-55ca-a1e4-cd74fbb0ea3c
三家兄書報薦起樓屋喜而有詩,馮山,json/poet.song.42000.json,4a18dc03-5eef-5a82-809d-990d85f8c198
寄陳蓬州圖南,馮山,json/poet.song.42000.json,5e006f17-dd9c-5f4d-a594-b93ab1c9941f
和鄧温伯二首  其一,馮山,json/poet.song.42000.json,693ced3b-e889-5a0b-bc01-c1d0fb7d819d
和鄧温伯二首  其二,馮山,json/poet.song.42000.json,3ce3fcac-619a-5a00-ae23-81f6e7a3ed1a
送鄧温伯,馮山,json/poet.song.42000.json,90b81e10-96e6-54ef-9cac-2e6398abd3af
和劉漕明復觀吳生畫,馮山,json/poet.song.42000.json,e1a79c77-a6cf-5b0d-b23b-af33c111e29a
和題成都諸公唱和集,馮山,json/poet.song.42000.json,93927cee-5514-54ff-b383-1aa578e963a6
和劉明復再遊劍州東園二首  其一,馮山,json/poet.song.42000.json,2164cf73-bfd7-59be-b63d-06eb279f0215
和劉明復再遊劍州東園二首  其二,馮山,json/poet.song.42000.json,88af0a4c-0a19-5573-800a-295aad009676
和徐之才喜雨,馮山,json/poet.song.42000.json,53234c63-7af0-536d-86ef-db636e0b52ab
和徐之才觜體,馮山,json/poet.song.42000.json,8540f799-83cc-549e-bede-c8c368899cc3
寄新先輩蹇頎子長書記,馮山,json/poet.song.42000.json,d7d1213d-ab0b-574f-b44a-38f2a2ac6592
和楊壽祺承事見寄,馮山,json/poet.song.42000.json,0b0d9b96-b618-5613-9c98-2fc5e18328ca
送苗子君運使赴河東漕二首  其一,馮山,json/poet.song.42000.json,51b22d2a-df4c-5201-a89c-1ffbd2f473d1
送苗子君運使赴河東漕二首  其二,馮山,json/poet.song.42000.json,63dda7b7-dad0-5a71-a2d6-fca044f81678
寄李獻甫運使,馮山,json/poet.song.42000.json,b6a05a52-3fe5-523e-9f04-f4463e6dbb06
和趙良弼初秋即事,馮山,json/poet.song.42000.json,931dde1e-08f5-5418-9320-9ef6cd02a5be
甲子鹿鳴燕上呈諸秀才二首  其一,馮山,json/poet.song.42000.json,5601e7c2-b8de-5daf-aa24-bc624568687f
甲子鹿鳴燕上呈諸秀才二首  其二,馮山,json/poet.song.42000.json,1dd12d57-b9d2-53cc-8825-47ac63ae9723
重和四首  其一,馮山,json/poet.song.42000.json,136a47e1-90f3-56e6-86de-5c377366b70f
重和四首  其二,馮山,json/poet.song.42000.json,40036a57-fae6-5b97-8db4-b4423132df9d
重和四首  其三,馮山,json/poet.song.42000.json,b15b5e67-1524-5729-b8bc-12ad90596b5d
重和四首  其四,馮山,json/poet.song.42000.json,b14e1239-6172-5d14-a6bf-17791dcedd02
和陳興州見寄,馮山,json/poet.song.42000.json,f2e2ba5f-d3b8-5b81-ad71-423f7f38d92b
戲謝趙良弼寄薏苡山藥,馮山,json/poet.song.42000.json,584f8eaa-bf01-52ac-801e-45ee77570b44
問江巨源求茶,馮山,json/poet.song.42000.json,bd27d1d0-c58e-510f-b854-e2d2816f46d9
謝李獻甫寄鳳茶,馮山,json/poet.song.42000.json,092730ed-a46a-557a-9880-fe506a9ea267
再和,馮山,json/poet.song.42000.json,353d3483-1264-5638-8ba5-aec62a8154ac
和李曼長官約遊郊園,馮山,json/poet.song.42000.json,898d68bc-b59d-59f4-848c-8052251507bc
和李獻甫雲頂,馮山,json/poet.song.42000.json,73a71516-d7ba-5788-8710-87451ed84406
和鮮于頃節推惠詩,馮山,json/poet.song.42000.json,65cda446-d393-5c96-aa16-d279df473832
下黔江,馮山,json/poet.song.42000.json,69d9cc36-5c9d-5e65-9eac-da9290d97159
和王子嚴南平道中寄示,馮山,json/poet.song.42000.json,05bf9a26-2633-5b00-b9fd-66717c9d544e
