title,author,belongTo,id
胜葫芦,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,43d8b07f-7d7a-52ca-9fb2-e70b7da326ff
高阳台,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,2f8441cf-ce58-5fa2-9481-21e57e3fb96c
前腔换头,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,c35845de-5e14-5d36-9196-e3b48038a295
前腔换头,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,ddec66b8-f5ef-5e8b-9cbb-431960b3fbbf
前腔换头,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,a54ff699-6a85-59c8-8813-7f152b253b56
前腔,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,3762b477-2aec-5e87-9b1f-c294da564d77
前腔换头,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,97c89cca-ed04-56af-9588-1d0334057fc8
前腔换头,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,6471d3eb-338c-57d9-8e87-03dd0012bbbf
前腔换头,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,216e9764-b991-57cf-a1b3-5c032f5e0bee
剔银灯,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,436741c1-47e1-56b8-9235-a6eda7c54fb3
桂枝香,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,504087a4-5eda-5208-8d46-bfc28b98d62f
前腔,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,a646f435-f8ea-5313-825f-4ae167b6a18e
北点降唇,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,ea8490c2-7f7a-5c5f-8117-11f6a41d39d8
北混江龙,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,339f217c-14c8-5860-975a-afaac337cad8
点绛唇,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,87f2d730-4467-53a3-ab1c-fd5c339c9b15
神仗儿,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,eddcc29b-aa02-5122-8cc8-0fa1df2d09c6
滴溜子,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,8dad1168-ab79-5871-ba8c-983a2963e369
入破第一,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,13126c2b-dc69-5bdc-9bdb-53c3ea8f57dc
破第二,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,f8006fa3-7626-562c-bf84-e4460b24df04
衮第三,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,0a0de3d9-3323-555e-8bca-e721586dd62f
歇拍,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,1e70dcc3-df2a-59a3-9d69-c68f87885eb5
中衮第四,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,4f4beebe-cf85-505c-9334-cb2711f44c9e
煞尾,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,9c6a7109-0743-58dd-b1d7-3e86239dcead
出破,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,991bbd9d-c155-527b-8bb9-434e9b1d565a
滴溜子,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,d6ae2c3f-6f83-59eb-80dd-d597637afaf9
前腔,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,715d07d9-4259-5027-9c49-71a8ed153ced
啄木儿,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,ecf087e4-3981-5eeb-8790-c01a64c45d35
前腔,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,c6475760-cbd4-5085-819b-ee8bd32220cb
三段子,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,b629cacb-8b45-59eb-b3d4-7d83ee8534f2
归朝天,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,7eaf7a96-8683-599c-a14d-656e3771252d
普贤歌,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,03058e5e-3c71-51c8-ba68-97abe086e909
前腔,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,ea3fb5e3-c149-50ec-aece-766632dfea83
前腔,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,0e4ba0e3-e584-51ad-8a7f-3b9d8384df6a
吴织机,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,7ac9f511-2654-5731-b0a9-42a5001092e8
捣练子,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,dafd23e1-7a21-5a2d-abef-2e9d1052299e
普天乐,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,71746e24-9368-52d3-ae9d-27ef4889ef1f
锁南枝,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,1ba8bdee-bba3-5f40-b469-4e80071f7f5e
前腔换头,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,2d5b84d4-4412-5bf5-b7e6-87626a315955
前腔,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,94a77c0e-204b-56c7-ba51-541f4143f142
前腔换头,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,93fcd748-03dc-5d96-96dc-1afa087d18d5
前腔,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,a2e1f296-4226-5a85-99b0-a2828ad0f451
前腔换头,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,3bf68770-0c86-558a-90c4-cf8c5fe7cbf5
前腔,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,d07e1bd3-30af-541b-9237-ace1f95d022a
前腔换头,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,18aff538-c16d-58dd-aaf0-ee2ff863888f
前腔,高明《蔡伯喈琵琶记》,yuanqu/yuanqu.json,fd350ad5-27be-5c51-b454-60f8cd985295
