title,author,belongTo,belongToName,id
謝胡文學惠水牛圖二卷,司馬光,json/poet.song.29000.json,全宋词,063ec1bc-2c65-5265-b64b-018efa803c73
王書記以近詩三篇相示各摭其意以詩賡之 感遇,司馬光,json/poet.song.29000.json,全宋词,4b1736e7-2bd9-5748-8d1e-15920a3a022e
王書記以近詩三篇相示各摭其意以詩賡之 投聖俞,司馬光,json/poet.song.29000.json,全宋词,1d91b1a6-5f41-5f34-8e68-baabf67dc3d3
王書記以近詩三篇相示各摭其意以詩賡之 呈景仁,司馬光,json/poet.song.29000.json,全宋词,0a0392f6-30b6-56e4-8921-d592d7d16a9d
酬胡侍講先生見寄,司馬光,json/poet.song.29000.json,全宋词,a7fe8cb9-ae33-5803-9df0-84f26aa34fb8
和錢君倚日本刀歌,司馬光,json/poet.song.29000.json,全宋词,f0118e5e-140b-5785-9872-00ddce81d73e
同聖民過楊之美聽琵琶女奴彈啄木曲觀諸公所贈歌明日投此爲謝,司馬光,json/poet.song.29000.json,全宋词,53408f24-9753-510e-b587-1c40023ce647
晚歸書室呈君倚,司馬光,json/poet.song.29000.json,全宋词,3038e27d-1808-5f2f-92df-aaa4df359b9c
偶成,司馬光,json/poet.song.29000.json,全宋词,cc0fbcbe-b2bd-5f98-9ff9-4c786984d606
同君倚過聖俞,司馬光,json/poet.song.29000.json,全宋词,fa2549d4-3060-5af6-90d7-9e5c1f9cc1da
聖俞惠詩復以二章爲謝  其一,司馬光,json/poet.song.29000.json,全宋词,98050e91-a005-5e7c-86b5-5488d264a5af
聖俞惠詩復以二章爲謝  其二,司馬光,json/poet.song.29000.json,全宋词,38e3c7e0-6b13-59f1-a3ed-909bb88e8f36
和君倚藤牀十二韻,司馬光,json/poet.song.29000.json,全宋词,045ddf11-6f68-5b32-b847-a32f7a1764c9
旬慮十七韻呈同舍,司馬光,json/poet.song.29000.json,全宋词,c2766bd4-4076-5ea0-82d8-cf49f50058ac
夜坐,司馬光,json/poet.song.29000.json,全宋词,b6d100f5-ac56-5992-8b77-e168808eb1fd
二月中旬慮問過景靈宮門始見花卉呈君倚,司馬光,json/poet.song.29000.json,全宋词,da73d25c-c06e-551a-8bba-b73783c30760
和始平公夢中有懷歸之念作詩始得兩句而寤因足成一章,司馬光,json/poet.song.29000.json,全宋词,4fa8f0b8-5968-50fa-870b-7544d1a4b852
和江鄰幾六月十一日省宿書事,司馬光,json/poet.song.29000.json,全宋词,23f0c552-3486-5c08-9b39-d75fe0cead6b
和張仲通學士苦暑思長安幕中望終南秋雪呈江鄰幾,司馬光,json/poet.song.29000.json,全宋词,419a8e7a-6ac6-5f76-91cc-c67e9153924c
和張仲通追賦陪資政侍郎吳公臨虛亭燕集寄呈陜府祖擇之學士,司馬光,json/poet.song.29000.json,全宋词,8a01f01e-2022-56d5-a8f4-fa822e013a54
秋意呈鄰幾吳冲,司馬光,json/poet.song.29000.json,全宋词,a1d058ad-f56f-5bd6-9d45-2831e7be820b
次韻和吳冲卿秋意四首 掃棗好草倒,司馬光,json/poet.song.29000.json,全宋词,0bf2f1e4-4fd8-5818-9a1f-b34e29f2eede
次韻和吳冲卿秋意四首 窺梨卑枝垂,司馬光,json/poet.song.29000.json,全宋词,77b1acb4-3d42-5f38-b9ec-21460f88084c
次韻和吳冲卿秋意四首 偏眠船舷邊,司馬光,json/poet.song.29000.json,全宋词,a7a51f52-c0c8-52dc-908d-64edfd187f81
次韻和吳冲卿秋意四首 後牖有朽柳,司馬光,json/poet.song.29000.json,全宋词,49a52286-3bd3-560e-a8e2-a390a585d1e2
聶著作三舅謫官長沙作耐辱亭書來索詩,司馬光,json/poet.song.29000.json,全宋词,7ccedc7a-7959-5c72-9b2e-1f9dcc85666d
走索,司馬光,json/poet.song.29000.json,全宋词,06ce7dd0-2848-5736-99ef-767ecee6275e
邵不疑廳薜荔及竹,司馬光,json/poet.song.29000.json,全宋词,8e9882cf-1251-50d5-965a-b9bbe21078f8
和公達過潘樓觀七夕市,司馬光,json/poet.song.29000.json,全宋词,95e786ee-4725-5309-94a1-ec0646aa4dc0
酬鄰幾問不飲栽菊,司馬光,json/poet.song.29000.json,全宋词,67b54dd2-82f7-5462-94b2-e4ded9e88100
次韻和邵不疑假書江鄰幾知方酣寢爲詩通意,司馬光,json/poet.song.29000.json,全宋词,a62841f9-1ac4-576e-99e9-3f8519e3ce78
