title,author,belongTo,belongToName,id
泠風閣,胡仲弓,json/poet.song.220000.json,全宋词,010a192a-17f7-5b48-854c-7df09e5ddd78
西湖懷古,胡仲弓,json/poet.song.220000.json,全宋词,24f0f738-3c43-5043-8199-01097c226448
旱湖,胡仲弓,json/poet.song.220000.json,全宋词,8af21bad-f1af-56d0-8d6b-2e4d5fb5875b
晚眺  其一,胡仲弓,json/poet.song.220000.json,全宋词,3f2e1c58-f7a1-54eb-9de6-698df52695ac
晚眺  其二,胡仲弓,json/poet.song.220000.json,全宋词,d760d5e0-acb1-5597-8073-5c7002430ca4
次趙同叔春雨中韻,胡仲弓,json/poet.song.220000.json,全宋词,9be509f5-dfed-567c-b4c0-9e86f27a5c9b
結交嘆,胡仲弓,json/poet.song.220000.json,全宋词,f70e466e-6073-5479-be55-07887098b635
冬雨即事寄趙默庵,胡仲弓,json/poet.song.220000.json,全宋词,2bb8c524-ab6d-53b1-8efa-d419ef928855
春日過西湖,胡仲弓,json/poet.song.220000.json,全宋词,84264752-3d7e-51c4-b0cd-bdd0de30223a
九日山拜姜相遺像,胡仲弓,json/poet.song.220000.json,全宋词,1813d693-9e0c-53df-ae9e-70cf7c672ac0
次梅莊守歲韻,胡仲弓,json/poet.song.220000.json,全宋词,8877a60a-8612-5c05-b4df-225dd8e64db5
近事,胡仲弓,json/poet.song.220000.json,全宋词,ba5c7c43-e776-5a02-8540-bda3e8ce80d8
賀林自知兄登第,胡仲弓,json/poet.song.220000.json,全宋词,537fba07-769b-5273-b8ea-4d888a4abbc2
秀野,胡仲弓,json/poet.song.220000.json,全宋词,6c3117a7-1e5d-5125-9016-54e0f341ef34
送湯武諭倅吳門,胡仲弓,json/poet.song.220000.json,全宋词,b6dd3437-62b6-5d6a-bcac-bbee5f4a5093
郊行即事,胡仲弓,json/poet.song.220000.json,全宋词,6e360096-f915-5dfa-be5c-083be5856c8d
富沙水後次壁間韻,胡仲弓,json/poet.song.220000.json,全宋词,08123d16-2087-5d82-a806-e004f65a7bd8
送月塘回藍溪,胡仲弓,json/poet.song.220000.json,全宋词,6c7bc462-a7db-5f0e-8fef-52a136b65dd4
可山席上,胡仲弓,json/poet.song.220000.json,全宋词,329d6ba7-6427-5b83-8379-9169ad334e20
和抱拙韻  其一,胡仲弓,json/poet.song.220000.json,全宋词,189b1154-4266-5ca1-888b-53b23e964831
和抱拙韻  其二,胡仲弓,json/poet.song.220000.json,全宋词,c65b1402-9356-5f98-810e-42f3453e6c53
和希膺韻,胡仲弓,json/poet.song.220000.json,全宋词,9bc4959a-a88d-5f60-bf72-53f1595125ba
和李希膺見寄,胡仲弓,json/poet.song.220000.json,全宋词,d5a09829-7719-57b4-b3e1-520040082f7c
有感時事  其一,胡仲弓,json/poet.song.220000.json,全宋词,31270276-d101-59df-b436-ba0b5a56660b
有感時事  其二,胡仲弓,json/poet.song.220000.json,全宋词,cb5c27be-804f-5c33-ab35-5e42118de849
上元觀燈,胡仲弓,json/poet.song.220000.json,全宋词,5ed104b6-9149-5ee6-86f7-8414198b6cd7
題溪亭,胡仲弓,json/poet.song.220000.json,全宋词,9995f781-2386-5251-8dd1-d6ab429d72ef
陳氏溪亭次韻,胡仲弓,json/poet.song.220000.json,全宋词,6c7b5e53-708a-5dc9-acae-ded33520004f
溪亭夜吟,胡仲弓,json/poet.song.220000.json,全宋词,92d03547-2d04-55ad-908e-173cf0fa6d8c
元日,胡仲弓,json/poet.song.220000.json,全宋词,986c21c4-8116-5d57-96d9-f7632eeb51ec
題桃源圖  其一,胡仲弓,json/poet.song.220000.json,全宋词,a5537036-45f4-5865-9395-22e3fb3d3e2a
題桃源圖  其二,胡仲弓,json/poet.song.220000.json,全宋词,dffb5afc-ba22-5141-af35-0adbcdf04078
題窗間墨竹,胡仲弓,json/poet.song.220000.json,全宋词,1739a36f-3b5e-55c2-97a3-ec343a8e80ca
走筆和法石紀遊,胡仲弓,json/poet.song.220000.json,全宋词,a9b487a5-f006-50f3-8f36-7ebda7ce6872
訪枯崖不遇,胡仲弓,json/poet.song.220000.json,全宋词,73d0fc0d-75b5-5ebd-bcfb-5f3b18a4ed06
哭杜立齋先生,胡仲弓,json/poet.song.220000.json,全宋词,191f42f7-147d-5079-b8c4-98f01b3daf73
哭趙吏部,胡仲弓,json/poet.song.220000.json,全宋词,84c3f14a-a1af-5b12-9353-611873cc9532
次郭吉甫梅仙之官廣右,胡仲弓,json/poet.song.220000.json,全宋词,15f20685-f586-5f2f-93e9-1e0d5dd7e0f0
和止泓姜秦祠韻,胡仲弓,json/poet.song.220000.json,全宋词,4791db5f-313b-530a-8e33-32c0046f2c96
西塔,胡仲弓,json/poet.song.220000.json,全宋词,e7f2f85c-1b89-5434-9541-2efd211b1aa8
次韻答王東墅,胡仲弓,json/poet.song.220000.json,全宋词,7755783e-c299-5fce-9fd2-dfeb4d2dd66e
答頤齋詩筒走寄  其一,胡仲弓,json/poet.song.220000.json,全宋词,7375cfe1-d9bd-50e1-8673-405ee1f93c39
答頤齋詩筒走寄  其二,胡仲弓,json/poet.song.220000.json,全宋词,e6535551-0aff-5811-bf6b-a739a109f8a5
答頤齋詩筒走寄  其三,胡仲弓,json/poet.song.220000.json,全宋词,61fe6cec-a109-519a-b9b2-6f26a8c1ea7b
春日,胡仲弓,json/poet.song.220000.json,全宋词,28637f9c-1129-51e6-b32a-af74c9902b0e
餞儲秀野赴廣西制司參議,胡仲弓,json/poet.song.220000.json,全宋词,9d7a542a-2923-5149-95be-1556ce8e7280
次傅德用府教授韻,胡仲弓,json/poet.song.220000.json,全宋词,8e889a49-657e-572d-8640-a7a5c501ad69
送呂時可監丞朝假歸里,胡仲弓,json/poet.song.220000.json,全宋词,d908fe12-6eeb-5e4f-a905-a9b6555be235
次雪舟進退韻,胡仲弓,json/poet.song.220000.json,全宋词,4367a1b2-af62-5595-be09-4547f6b93db1
霸王廟,胡仲弓,json/poet.song.220000.json,全宋词,dcc082a1-3f4a-51ec-bd0a-3d490a9c49ba
張巡廟,胡仲弓,json/poet.song.220000.json,全宋词,d5a579a8-7093-58c2-bdaf-c526fa509c22
雪磴,胡仲弓,json/poet.song.220000.json,全宋词,f121faf3-03e1-5d42-b9ef-bafb94cd73a5
曉枕聽禽言,胡仲弓,json/poet.song.220000.json,全宋词,6c4b4dd9-717c-5eb3-aca4-be59f5536ef9
皆春,胡仲弓,json/poet.song.220000.json,全宋词,d8ae28e7-9e53-51c2-9e1c-14cd25a299d3
意亭,胡仲弓,json/poet.song.220000.json,全宋词,d3f48037-c632-5336-ba04-99c255a33589
題野雲庵,胡仲弓,json/poet.song.220000.json,全宋词,afd27372-cbbe-5d1e-a7f9-631662b2767e
適吾意,胡仲弓,json/poet.song.220000.json,全宋词,e32a0b8e-476e-53a9-9c41-111006c450dc
題陳希夷睡圖,胡仲弓,json/poet.song.220000.json,全宋词,b22061f9-7e58-5f92-902b-c9cad6f5a433
山館對月,胡仲弓,json/poet.song.220000.json,全宋词,91515cc5-e075-554a-b7c8-c6f8b5264dc3
雲思,胡仲弓,json/poet.song.220000.json,全宋词,580e373d-3158-5fba-a229-7f6595e63562
詠松  其一,胡仲弓,json/poet.song.220000.json,全宋词,151b11fa-78dc-5e56-a6c8-1199123a7349
詠松  其二,胡仲弓,json/poet.song.220000.json,全宋词,1b5a917f-41f5-5a0d-a78b-124de9030b81
詠松  其三,胡仲弓,json/poet.song.220000.json,全宋词,909813dc-6143-51b4-a3b5-89f0110a4689
詠松  其四,胡仲弓,json/poet.song.220000.json,全宋词,8e0eb9e3-0efc-51ad-8c03-01c88e42e683
詠松  其五,胡仲弓,json/poet.song.220000.json,全宋词,fcdcd0e1-2964-5af6-b29a-5ef080b94777
詠松  其六,胡仲弓,json/poet.song.220000.json,全宋词,b7d122b6-4dff-561f-b31f-165598a4b2ec
詠松  其七,胡仲弓,json/poet.song.220000.json,全宋词,f01b8f1e-942a-5732-99f0-1d9aa167353e
春詠,胡仲弓,json/poet.song.220000.json,全宋词,76c6bf27-80c4-5cb5-ae21-169c2b7c7a50
耕釣境,胡仲弓,json/poet.song.220000.json,全宋词,146d26f5-052c-5472-866e-71372bcaeb31
用烏山韻題碧吟卷,胡仲弓,json/poet.song.220000.json,全宋词,ae494b0e-4e01-5b83-ba14-7e92295a73d6
梅,胡仲弓,json/poet.song.220000.json,全宋词,4a3ae4d1-e436-54a5-a00d-b1c4af2bf0d0
溪亭夜集走筆,胡仲弓,json/poet.song.220000.json,全宋词,8e6a2a67-8eca-5cb6-8381-1cd9b03e4111
次松坡梅花韻,胡仲弓,json/poet.song.220000.json,全宋词,33b14993-1ef5-5382-9f70-7e0181030265
寄越友,胡仲弓,json/poet.song.220000.json,全宋词,695eb38b-8a3c-5a9c-8730-0c2235f7184f
寄楊藴古,胡仲弓,json/poet.song.220000.json,全宋词,099b9272-555e-541c-bb1b-106968fc951f
題武適安寧卷,胡仲弓,json/poet.song.220000.json,全宋词,92166a35-4f95-56dd-9f2b-975e1489ef57
問梅,胡仲弓,json/poet.song.220000.json,全宋词,156fffd7-25d9-53fa-b577-6451ad26a912
孤山問梅,胡仲弓,json/poet.song.220000.json,全宋词,6547888d-72a7-5458-89f8-e38dc9f19af5
用韻答寶葉,胡仲弓,json/poet.song.220000.json,全宋词,80eaebb8-a58f-554b-9d71-51baedf7d84a
客星閣  其一,胡仲弓,json/poet.song.220000.json,全宋词,369942ae-0e71-5d3c-a4bf-83181f25cb05
客星閣  其二,胡仲弓,json/poet.song.220000.json,全宋词,ac756321-73f7-542c-af63-04b29e5bade7
省墳,胡仲弓,json/poet.song.220000.json,全宋词,96ac28ba-c4c3-5941-b057-fcc90e2ff4eb
梅花盛開有粉蝶衝寒而至,胡仲弓,json/poet.song.220000.json,全宋词,77f7b099-23d7-5ba6-b40e-114fe5c11f55
湖邊,胡仲弓,json/poet.song.220000.json,全宋词,e41f630a-4997-5039-947d-4f37de2a564d
斷橋觀釣,胡仲弓,json/poet.song.220000.json,全宋词,82d4493b-b044-5a08-a931-a8d634fced42
